epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.255,1.80414,0.81784,0.86202,0.54574,0.54533,0.52404,0.27981,1.45763,1.05952,0.8377,0.1,0,0
2,57.5761,1.36035,0.78218,0.87719,0.55407,0.54533,0.5278,0.28286,1.4545,1.04716,0.83734,0.09901,9.99998e-06,9.99998e-06
3,64.4151,1.62708,0.94399,0.90155,0.56842,0.54271,0.53208,0.28442,1.45363,1.04401,0.83704,0.09802,1.99998e-05,1.99998e-05
4,71.2813,1.48513,0.81968,0.86937,0.50571,0.48685,0.46213,0.25229,1.52557,1.1173,0.84511,0.09703,2.99993e-05,2.99993e-05
5,77.1681,1.6646,0.90987,0.85944,0.4993,0.48948,0.46557,0.25451,1.52289,1.10753,0.84465,0.09604,3.99984e-05,3.99984e-05
6,78.8457,1.54152,0.91546,0.86539,0.48733,0.49096,0.45545,0.25249,1.53663,1.04206,0.84857,0.09505,4.99969e-05,4.99969e-05
7,80.5403,1.57613,0.93596,0.86975,0.48787,0.49397,0.4581,0.25425,1.53231,1.03041,0.84766,0.09406,5.99947e-05,5.99947e-05
8,81.9597,1.40283,0.94369,0.88417,0.50623,0.54106,0.49516,0.28111,1.48888,0.92427,0.84499,0.09307,6.99915e-05,6.99915e-05
9,83.4712,1.57854,0.85348,0.864,0.50363,0.54334,0.50367,0.28547,1.49002,0.8916,0.84543,0.09208,7.99874e-05,7.99874e-05
10,85.1975,1.45037,0.93802,0.85443,0.49177,0.53296,0.47838,0.26956,1.54613,0.98682,0.85198,0.09109,8.9982e-05,8.9982e-05
11,86.6658,1.48707,0.9871,0.88891,0.49042,0.51685,0.47382,0.26644,1.54842,1.00359,0.84983,0.0901,9.99754e-05,9.99754e-05
12,88.0501,1.90225,0.93154,0.85655,0.46297,0.52196,0.45992,0.25557,1.56868,1.038,0.85059,0.08911,0.000109967,0.000109967
13,89.3673,1.69221,0.9025,0.86845,0.46347,0.51542,0.46579,0.25553,1.5339,1.01778,0.84513,0.08812,0.000119957,0.000119957
14,90.716,1.63303,0.8742,0.85719,0.47526,0.5181,0.47517,0.26032,1.51418,1.05701,0.84309,0.0871299,0.000129946,0.000129946
15,91.992,1.4473,0.83786,0.86989,0.49478,0.51135,0.48134,0.25917,1.49911,1.10744,0.84408,0.0861399,0.000139932,0.000139932
16,93.3202,1.45478,0.9421,0.86796,0.52284,0.49633,0.48617,0.26669,1.49437,1.0783,0.84488,0.0851499,0.000149917,0.000149917
